UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1976,"R",2354,"R",84,"R",1547,"R",0,"R",0,"R",1547,"R",988,"R",64,"R",10,"R",0,"R",0,"R",10,"R",4,"R",40,"R",19
100663,"R",2057,"R",3287,"R",63,"R",2162,"R",1,"R",0,"R",2161,"R",1771,"R",82,"R",45,"R",0,"R",0,"R",45,"R",21,"R",47,"R",18
100690,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
100706,"R",1162,"R",1896,"R",61,"R",1154,"R",0,"R",0,"R",1154,"R",929,"R",81,"R",18,"R",0,"R",0,"R",18,"R",5,"R",28,"R",17
100724,"R",909,"R",1091,"R",83,"R",938,"R",0,"R",0,"R",938,"R",567,"R",60,"R",5,"R",0,"R",0,"R",5,"R",4,"R",80,"R",16
100751,"R",8215,"R",9715,"R",85,"R",7981,"R",7,"R",0,"R",7974,"R",6865,"R",86,"R",56,"R",0,"R",0,"R",56,"R",28,"R",50,"R",19
100760,"R",274,"R",986,"R",28,"R",270,"R",0,"R",0,"R",270,"R",158,"R",59,"R",79,"R",0,"R",0,"R",79,"R",35,"R",44,"R",17
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
100830,"R",408,"R",712,"R",57,"R",384,"R",1,"R",0,"R",383,"R",252,"R",66,"R",22,"R",0,"R",0,"R",22,"R",6,"R",27,"R",15
100858,"R",5916,"R",8061,"R",73,"R",5282,"R",8,"R",0,"R",5274,"R",4915,"R",93,"R",21,"R",0,"R",0,"R",21,"R",14,"R",67,"R",21
100937,"R",148,"R",177,"R",84,"R",244,"R",0,"R",0,"R",244,"R",154,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
101028,"R",209,"R",773,"R",27,"R",191,"R",0,"R",0,"R",191,"R",105,"R",55,"R",74,"Z",0,"Z",0,"R",74,"R",16,"R",22,"R",15
101116,"R",20,"R",76,"R",26,"R",7,"R",0,"R",0,"R",7,"R",2,"R",29,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",13
101143,"R",438,"R",1112,"R",39,"R",354,"R",0,"R",0,"R",354,"R",221,"R",62,"R",108,"R",0,"R",0,"R",108,"R",42,"R",39,"R",17
101161,"R",1210,"R",3206,"R",38,"R",1191,"R",0,"R",0,"R",1191,"R",723,"R",61,"R",305,"Z",0,"Z",0,"R",305,"R",119,"R",39,"R",15
101189,"R",228,"R",684,"R",33,"R",206,"R",0,"R",0,"R",206,"R",145,"R",70,"R",19,"R",0,"R",0,"R",19,"R",12,"R",63,"R",13
101240,"R",916,"R",2148,"R",43,"R",808,"R",0,"R",0,"R",808,"R",473,"R",59,"R",162,"R",0,"R",0,"R",162,"R",58,"R",36,"R",17
101277,"A",,"A",,"A",,"R",37,"R",0,"R",0,"R",37,"R",19,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
