date,year_week,cname,iso3,pop,cases,deaths,cu_cases,cu_deaths,r14_cases,r14_deaths
2019-12-30,2020-01,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-01-06,2020-02,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-01-13,2020-03,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-01-20,2020-04,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-01-27,2020-05,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-02-03,2020-06,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-02-10,2020-07,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-02-17,2020-08,Austria,AUT,8932664,NA,NA,NA,NA,NA,NA
2020-02-24,2020-09,Austria,AUT,8932664,12,0,12,0,NA,NA
2020-03-02,2020-10,Austria,AUT,8932664,115,0,127,0,1.4217483160678606,0
2020-03-09,2020-11,Austria,AUT,8932664,874,2,1001,2,11.071725075520584,0.2238973726091119
2020-03-16,2020-12,Austria,AUT,8932664,3046,30,4047,32,43.88388503138594,3.5823579617457906
2020-03-23,2020-13,Austria,AUT,8932664,5098,101,9145,133,91.17101012643036,14.66527790589683
2020-03-30,2020-14,Austria,AUT,8932664,3114,127,12259,260,91.93226119330134,25.524300477438757
2020-04-06,2020-15,Austria,AUT,8932664,1838,150,14097,410,55.43698945801611,31.009786106362
2020-04-13,2020-16,Austria,AUT,8932664,686,120,14783,530,28.255848423269924,30.22614530223011
2020-04-20,2020-17,Austria,AUT,8932664,450,78,15233,608,12.717370764197556,22.165839888302077
2020-04-27,2020-18,Austria,AUT,8932664,309,51,15542,659,8.496905290515796,14.44138053328772
2020-05-04,2020-19,Austria,AUT,8932664,260,32,15802,691,6.369880250729234,9.291740963278144
2020-05-11,2020-20,Austria,AUT,8932664,324,14,16126,705,6.5378032801860675,5.149639570009574
2020-05-18,2020-21,Austria,AUT,8932664,264,18,16390,723,6.58258275470789,3.5823579617457906
2020-05-25,2020-22,Austria,AUT,8932664,195,15,16585,738,5.138444701379118,3.6943066480503464
2020-06-01,2020-23,Austria,AUT,8932664,228,15,16813,753,4.735429430682717,3.3584605891366786
2020-06-08,2020-24,Austria,AUT,8932664,172,15,16985,768,4.477947452182238,3.3584605891366786
2020-06-15,2020-25,Austria,AUT,8932664,248,17,17233,785,4.70184482479135,3.5823579617457906
